ImgId,title,description,categories
B000B7CF8M,Basic Comfort Ultimate Crib Sheet - Stripes,"The Ultimate Crib Sheet coordinates with Bubbles & Fish Bedding.  It's actually 4 products in one:  quick change sheet, mattress pad, super absorbent pad, and a waterproof pad.  An excellent product that greatly reduces the need to change standard crib sheets.  And with the easy snap on and off, this will be no problem attaching or removing from the crib.  And it fits standard crib mattresses, 52"" x 28"".  Machine washable.",Baby
B0000516S5,HP Color LaserJet 4550 Printer,"The Hewlett-Packard 4550 LaserJet printer is ideal for a small work group or office looking for a color printer. This printer makes color laser printing simple and fast, producing 4 ppm in color and 16 ppm in black. This is true even when printing complex color print jobs.The 4550 has automatic color calibration, which offers surprising color print quality for the life of the printer. With Hewlett-Packard's Image Resolution Enhancement technology, a 600 dpi engine puts out 2,400 dpi color-laser print-quality images.The 4550 has two trays that provide a paper capacity of 400 sheets. Duty cycle is 35,000 pages per month. This printer also has a 233 MHz processor and up to 192 MB memory. Color prints up to 8.5 by 14 inches on both sides are available with an optional automatic duplex unit.The 4550 comes with an expanded control panel to better help with potential problems and to recommend solutions. It is compatible with both IBM and Macintosh operating systems, and it is network capable and Internet enabled. The 4550 measures 20 x 22 x 16 inches and comes with a one-year limited warranty. This product also meets the Energy Star guidelines for energy efficiency.",Office Products
B00002243T,Bucket Boss Brand 54005 Pneumatic Sleeve,"On the Bucket Boss Brand 54005 Pneumatic Sleeve, the tall pocket holds several full clips, while a shorter pocket holds broken clips. Fits contractors and builders rigs. Made from Cordura Nylon. Padded to protect your leg.",Tools & Home Improvement
B0002L683A,Sunshade for Acura TSX 2003 2004 2005 2006 2007 2008 HEATSHIELD Custom-fit Sunshade,"Special metalized polyester film-laminated to a thin layer of closed-cell foam, with clear polyester film back. then sewn around the edge with cloth binding plus Velcro strap for storage.",Automotive
B000JLO362,Braza Reveal Silicone Bra (7800) A/Clear,"The only silicone bra that does it all! Reveal Silicone can be worn in many directions to create cleavage, lift, support, fullness and shaping! Adds up to one cup size of enhancement while providing serious support up to a cup size C. No center clip means that Real Silicone can be worn with all kinds of deep plunging necklines. Reveal Silicone may be used up to 100 times! Select your correct size: A Cup fits 32A, 34A, 32B B Cup fits 36A, 38A, 34B, 36B, 32C C Cup fits 38B, 34C, 36C, 32D","Clothing, Shoes & Jewelry"
B000A88JZ0,Medela Soft Fit Breastshields 24mm - Medela 67246,Medela Soft Fit Breastsheilds 24mm - Medela 67246.,Baby
B0002E1I0A,GHS M3045F Flea Signature Bass Boomers Medium Electric Bass Strings,Gauges: 45-65-85-105. Flea won't settle for less than the tried-and-true formula of GHS Bass Boomers. The low E string has a special combination of stainless steel and nickel plate for added strength and power.,Musical Instruments
1579822746,"Merry Makers Olivia Plush Doll, 20&quot;","Olivia is the most famous pig in the world! She has a sassy personality and a big imagination, and she has delighted readers for years in the books by Ian Falconer. Our doll, dressed in her classic red dress, is full of charm and wit. She will delight Olivia lovers of all ages. Measures 20 inches tall.",Toys & Games
B0006J419Q,Jabra C150 Headset for 2.5mm Universal Headset Plug,"With the Jabra C150 hands-free conversations on your mobile phone really couldn&#8217;t be easier or more enjoyable. The C150 headset discreetly allows you to talk on the move, combining excellent audio performance with a compact design incorporating a stylish integral boom microphone.",Cell Phones & Accessories
B00006HS2B,"Canon Model BC-02 Black Cartridges, Pack Of 2","Isn't it nice to plan ahead? A name-brand consumable for your name-brand printer, this package includes two BC-02 black ink cartridges. Each provides an average of 500 pages, based on five percent coverage. The pigment-based dyes are resistant to smudges and fading and won't bleed through your pages. The cartridges are compatible with the following Canon Bubble Jet models: BJ200, BJC100, BJC1000, BJC210, BJC240, and BJC250.",Office Products
B00005BMI9,Wet Ones Antibacterial Hand Wipes - Fresh Scent: 40 Count Canister,"Wet Ones Antibacterial Hand Wipes kill 99.99% of germs, helps in preventing the spread of bacteria; and they remove dirt, providing a better clean than hand sanitizers. They're ideal for quick clean-ups after contact with germs, sticky foods, greasy dirt, and everyday messes. Wet Ones Antibacterial Hand Wipes are formulated to be tough on dirt and germs, yet gentle on skin. Help keep your family healthy and clean anytime and anywhere, when soap and water are not available. 40 Wipes - Antibacterial/Fresh Scent.",Health & Personal Care
B0000TLER4,"Huckleberry Flap Jacks, 12oz",This just add water Flap Jack Mix includes 3oz Wild Huckleberry Jam to create a delicious wild berry breakfast treat.,Grocery & Gourmet Food
B000EG6QJY,eForCity Premium Car (Vehicle) Charger w/ IC Chip Compatible with Treo TX / Tungsten T5 / Treo 650 / Treo 700w / 700p / 700wx/ Tungsten E2 / LifeDrive / Treo 750v/Treo 755P,"Enhance the mobility of your PDA with a cigarette lighter adapter that harnesses power from your car, allowing you to recharge on the road.An essential convenience for people on the go.",Cell Phones & Accessories
